source,target,link_type,similarity
d3bcd580-e4df-4beb-a53a-70f58473fc4e,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.7294
d3bcd580-e4df-4beb-a53a-70f58473fc4e,6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,RELATES_TO,0.7199
d3bcd580-e4df-4beb-a53a-70f58473fc4e,0992f82c-6f23-44a5-8c57-7405c37bdff6,RELATES_TO,0.7074
984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,d3bcd580-e4df-4beb-a53a-70f58473fc4e,RELATES_TO,0.6950
0992f82c-6f23-44a5-8c57-7405c37bdff6,a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,RELATES_TO,0.7302
0992f82c-6f23-44a5-8c57-7405c37bdff6,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.7057
0992f82c-6f23-44a5-8c57-7405c37bdff6,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.7037
200ad9d6-ce9a-49e6-b98c-667642fc54ef,0992f82c-6f23-44a5-8c57-7405c37bdff6,RELATES_TO,0.5709
a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6261
498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.7651
498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7287
498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,6b3c1cd1-a75c-42b0-a961-71ab68cd1ca8,RELATES_TO,0.7142
57ab885a-f38c-4ff6-ab2e-98c113367a1a,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.6832
STARTER-001,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.7383
200ad9d6-ce9a-49e6-b98c-667642fc54ef,e768b072-2f7b-483c-ae3c-84d8a95dc2bc,RELATES_TO,0.8183
200ad9d6-ce9a-49e6-b98c-667642fc54ef,9d99854f-2ec5-4869-8c4d-819663842201,RELATES_TO,0.7084
200ad9d6-ce9a-49e6-b98c-667642fc54ef,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.5681
e768b072-2f7b-483c-ae3c-84d8a95dc2bc,9d99854f-2ec5-4869-8c4d-819663842201,RELATES_TO,0.7255
e768b072-2f7b-483c-ae3c-84d8a95dc2bc,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6177
9d99854f-2ec5-4869-8c4d-819663842201,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.5558
